code,location,registered,envelopes,valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Unie H.A.V.E.L.,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
538043,Babice,732,533,531,79,0,1,17,0,56,6,5,1,20,0,0,80,0,2,48,128,0,0,24,0,12,0,0,51,1
538051,Bašť,1 409,966,961,212,4,0,39,3,61,40,17,4,22,0,1,139,0,2,84,239,1,2,16,1,5,0,2,66,1
534684,Borek,242,170,170,27,1,0,11,0,15,5,1,0,2,0,1,24,0,0,15,64,1,0,0,0,2,0,0,1,0
538086,Bořanovice,627,440,440,110,1,0,23,0,18,36,4,5,6,0,1,63,0,0,26,103,1,1,4,0,4,0,1,32,1
538094,Brandýs nad Labem-Stará Boleslav,13 374,8 624,8 580,1 326,26,9,488,5,581,462,113,66,179,11,10,1 246,6,2,639,2 311,3,9,275,2,91,8,16,676,20
538108,Brázdim,533,374,373,49,0,0,15,1,23,26,4,4,5,0,0,64,0,0,17,111,0,0,8,0,4,2,1,36,3
564869,Březí,375,241,241,37,1,0,8,0,14,6,3,3,6,0,1,33,0,0,29,71,0,0,14,0,6,1,0,8,0
538132,Čelákovice,9 011,6 012,5 977,1 044,56,3,359,5,326,337,82,42,86,10,5,903,0,4,466,1 485,2,8,197,1,41,4,16,486,9
533254,Černé Voděrady,288,195,193,19,4,0,11,0,13,14,4,2,5,0,0,28,0,0,7,61,0,0,3,0,1,0,0,21,0
538141,Čestlice,497,360,360,58,1,0,17,0,23,9,6,6,7,0,0,49,1,0,31,110,1,2,12,0,4,0,0,23,0
565008,Dobročovice,209,148,147,29,0,0,7,1,17,5,0,1,8,1,0,14,0,0,13,33,0,0,0,0,2,0,0,16,0
538167,Dobřejovice,686,513,506,92,0,1,21,0,36,27,9,5,12,1,0,69,0,1,48,135,0,0,14,0,1,0,1,33,0
564885,Doubek,328,236,235,53,1,0,10,0,25,12,7,0,7,0,0,32,0,0,23,43,0,0,4,0,3,1,0,13,1
